cell_line,model,rows_total,train_rows_before_augmentation,train_rows_after_augmentation,test_rows,input_features,r2_score,rmse,mae,pearson_rp,spearman_rs,train_time_sec,model_path,prediction_file,status,error
BT-549,XGBoost,2431,2187,4374,244,526,0.3240558153362185,48.553841700860225,34.19525883053659,0.5752935342558247,0.5268279054439743,2.43489933013916,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_BT_549.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_BT_549.csv,success,
BT-549,LightGBM,2431,2187,4374,244,526,0.3197124250254979,48.7095872491751,33.316352163331075,0.5741478166603594,0.5672381377612811,3.128868341445923,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_BT_549.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_BT_549.csv,success,
BT-549,CatBoost,2431,2187,4374,244,526,0.2640565160372428,50.66294276494067,35.039577712152635,0.5222492090120618,0.49416389705231867,4.645599126815796,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_BT_549.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_BT_549.csv,success,
CAKI-1,LightGBM,2436,2192,4384,244,526,0.3788728784987875,43.51260248475686,30.896800709178642,0.6226908938544526,0.597870918575682,2.7564680576324463,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_CAKI_1.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_CAKI_1.csv,success,
CAKI-1,CatBoost,2436,2192,4384,244,526,0.34905935320501835,44.54464561726059,31.825384705227698,0.6014741477584213,0.5869504076335512,4.678933382034302,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_CAKI_1.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_CAKI_1.csv,success,
CAKI-1,RandomForest,2436,2192,4384,244,526,0.3154846751279947,45.678980286779414,32.79202103825137,0.5686169256023349,0.5548394461338053,11.002250909805298,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_CAKI_1.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_CAKI_1.csv,success,
CAKI-1,XGBoost,2436,2192,4384,244,526,0.314210660905039,45.721469194848545,32.464909792129625,0.5727323842970014,0.5497901865167162,2.474139928817749,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_CAKI_1.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_CAKI_1.csv,success,
CCRF-CEM,RandomForest,2399,2159,4318,240,526,0.38601354708509616,57.31939548409895,42.58284773809524,0.6272947375510243,0.5133320793767948,11.103960990905762,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_CCRF_CEM.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_CCRF_CEM.csv,success,
CCRF-CEM,CatBoost,2399,2159,4318,240,526,0.34291825805833565,59.296888746676494,42.77911762550632,0.5969610492665754,0.4994884678550907,5.082146644592285,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_CCRF_CEM.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_CCRF_CEM.csv,success,
CCRF-CEM,XGBoost,2399,2159,4318,240,526,0.30204866827096355,61.1131651550515,44.28120667600694,0.5653178855699144,0.4791504352904563,2.4075522422790527,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_CCRF_CEM.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_CCRF_CEM.csv,success,
